"short","full"
"time","Timestamp"
"calc_useful","For each of the topics below, consider the utility of a refresher session in a single day during the week before the beginning of classes, and of potential sessions covering similar topics over weekly meetings during the 3 weeks before classes begin.   Check the boxes for the versions you would have found useful, leaving blanks next to topics that wouldn't have been useful to you to review. [Math Prep Workshop: Calculus]"
"lin_alg_useful","For each of the topics below, consider the utility of a refresher session in a single day during the week before the beginning of classes, and of potential sessions covering similar topics over weekly meetings during the 3 weeks before classes begin.   Check the boxes for the versions you would have found useful, leaving blanks next to topics that wouldn't have been useful to you to review. [Math Prep Workshop: Linear Algerbra]"
"probab_useful","For each of the topics below, consider the utility of a refresher session in a single day during the week before the beginning of classes, and of potential sessions covering similar topics over weekly meetings during the 3 weeks before classes begin.   Check the boxes for the versions you would have found useful, leaving blanks next to topics that wouldn't have been useful to you to review. [Math Prep Workshop: Probability]"
"aug_3wk_times","Assuming a topic struck you as useful, would you have been able to participate in weekly review sessions during the three weeks in August before the start of classes if they occurred at the following weekly times?  Check all that apply:"
"orientation_wk1","Should general orientation sessions continue to be conducted in the week before the semester begins, or can they be moved to the first week of classes where possible?"
"teambuilding","Which of the following team-builiding activities would you recommend for onboarding"
"omissions","Is there something your orientation left out that you think should have been there?  If yes, please elaborate."
"eli_required","Is your UG degree from a non-English speaking institution, such that the U requires that you take ELI 994 (""College Teaching in the US"") before working as a GSI?"
"eli_taken","did you take ELI 994 during the summer before you started your current graduate program?"
"well_informed","Did you feel well informed on what to expect of the program before the orientation and after?"
"would_help","Would you be willing to help with a future cohort's orientation? Check each activity you'd be willing to do:"
